minute,c_uf,c_aver,v_buf,m_fp,price,q_uf_actual,q_fp_actual,total_energy_cost,fp_busy
219,0.7271687125406776,0.7271687125406776,0.0,4.795168780384594,0.46,5.507903575897217,5.507903575897217,0.014101369791453064,False
220,0.7273553075347154,0.7273553075347154,0.0,4.945896165878162,0.46,5.507903575897217,5.507903575897217,0.014744956599043273,False
221,0.7274511296981109,0.7274511296981109,0.0,5.173181756050302,0.46,8.303035736083984,8.303035736083984,0.01694970414854584,False
222,0.7275527912943442,0.7275527912943442,0.0,5.4005390734050795,0.46,8.303035736083984,8.303035736083984,0.0191544516980484,False
223,0.7276596635536423,0.7276596635536423,0.0,5.62797182151519,0.46,8.303035736083984,8.303035736083984,0.02135919924755096,False
224,0.7277711893793826,0.7277711893793826,0.0,5.855483314622181,0.46,8.303035736083984,8.303035736083984,0.023563946797053523,False
225,0.7278868734448388,0.7278868734448388,0.0,6.083076520845552,0.46,8.303035736083984,8.303035736083984,0.025768694346556084,False
226,0.7280627667930705,0.7280627667930705,0.0,6.2622265144628955,0.46,6.532166957855225,6.532166957855225,0.026842238662086754,False
227,0.7282386508089875,0.7282386508089875,0.0,6.4414743553090545,0.46,6.532166957855225,6.532166957855225,0.027915782977617425,False
228,0.7284145075284272,0.7284145075284272,0.0,6.620820087796323,0.46,6.532166957855225,6.532166957855225,0.028989327293148095,False
229,0.7285903144254096,0.7285903144254096,0.0,6.800263743813025,0.46,6.532166957855225,6.532166957855225,0.030062871608678765,False
230,0.7287660458267552,0.7287660458267552,0.0,6.979805340938366,0.46,6.532166957855225,6.532166957855225,0.031136415924209435,False
231,0.7288980367342265,0.7288980367342265,0.0,7.197303983010842,0.46,7.909895420074463,7.909895420074464,0.03304258040133601,False
232,0.7290324415391443,0.7290324415391443,0.0,7.41489342303115,0.46,7.909895420074463,7.909895420074464,0.03494874487846258,False
233,0.7291689738592314,0.7291689738592314,0.0,7.632575141591591,0.46,7.909895420074463,7.909895420074464,0.03685490935558915,False
234,0.7293073779020495,0.7293073779020495,0.0,7.850350448350727,0.46,7.909895420074463,7.909895420074464,0.038761073832715716,False
235,0.7294474246239302,0.7294474246239302,0.0,8.068220499831526,0.46,7.909895420074463,7.909895420074464,0.040667238309842285,False
236,0.7295277836527877,0.7295277836527877,0.0,8.34003016221902,0.46,9.865740776062012,9.865740776062012,0.04436583730691652,False
237,0.729613165075064,0.729613165075064,0.0,8.611911917987634,0.46,9.865740776062012,9.865740776062012,0.04806443630399075,False
238,0.7297030066862495,0.7297030066862495,0.0,8.883869556252906,0.46,9.865740776062012,9.865740776062012,0.051763035301064984,False
239,0.7297968104992567,0.7297968104992567,0.0,9.155906448850606,0.46,9.865740776062012,9.865740776062012,0.05546163429813922,False
240,0.7298941341134713,0.7298941341134713,0.0,9.42802559693047,0.46,9.865740776062012,9.865740776062012,0.05916023329521345,False
241,0.730015533681505,0.730015533681505,0.0,9.68137989274482,0.46,9.181953430175781,9.181953430175781,0.06214186092642134,False
242,0.7301384140947731,0.7301384140947731,0.0,9.934830923609699,0.46,9.181953430175781,9.181953430175781,0.06512348855762924,False
243,0.7302625958400096,0.7302625958400096,0.0,10.18837975593631,0.46,9.181953430175781,9.181953430175781,0.06810511618883713,False
244,0.7303879150345924,0.7303879150345924,0.0,10.442027328337135,0.46,9.181953430175781,9.181953430175781,0.07108674382004503,False
245,0.7305142218118287,0.7305142218118287,0.0,10.695774462464838,0.46,9.181953430175781,9.181953430175781,0.07406837145125292,False
246,0.7305807257212791,0.7305807257212791,0.0,11.004831939991712,0.46,11.181072235107422,11.181072235107422,0.07945229032134073,False
247,0.73065176252759,0.73065176252759,0.0,11.313957643053806,0.46,11.181072235107422,11.181072235107422,0.08483620919142854,False
248,0.7307268102267315,0.7307268102267315,0.0,11.623155442122858,0.46,11.181072235107422,11.181072235107422,0.09022012806151634,False
249,0.7308054061558417,0.7308054061558417,0.0,11.932428766048975,0.46,11.181072235107422,11.181072235107422,0.09560404693160415,False
250,0.7308871386143142,0.7308871386143142,0.0,12.241780650706245,0.46,11.181072235107422,11.181072235107422,0.10098796580169196,False
251,0.7310230916625453,0.7310230916625453,0.0,12.50349469723213,0.46,9.455276489257812,9.455276489257812,0.10424386421405801,False
252,0.7311583120581862,0.7311583120581862,0.0,12.765318748973016,0.46,9.455276489257812,9.455276489257812,0.10749976262642406,False
253,0.7312928388799597,0.7312928388799597,0.0,13.02725229307368,0.46,9.455276489257812,9.455276489257812,0.11075566103879012,False
254,0.7314266993022992,0.7314266993022992,0.0,13.28929483805487,0.46,9.455276489257812,9.455276489257812,0.11401155945115617,False
255,0.7315599113332055,0.7315599113332055,0.0,13.551445906388073,0.46,9.455276489257812,9.455276489257812,0.11726745786352222,False
256,0.7316101069760023,0.7316101069760023,0.0,13.890455348462607,0.46,12.225500106811523,12.225500106811523,0.12430543819087708,False
257,0.7316648616496922,0.7316648616496922,0.0,14.229522495268414,0.46,12.225500106811523,12.225500106811523,0.13134341851823195,False
258,0.7317236178514346,0.7317236178514346,0.0,14.568651576170247,0.46,12.225500106811523,12.225500106811523,0.1383813988455868,False
259,0.7317858845568915,0.7317858845568915,0.0,14.907846305379172,0.46,12.225500106811523,12.225500106811523,0.14541937917294168,False
